"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.02,0.025,NA,1000,1,1.1099967956543,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.02,0.025,NA,1000,1,1.14040946960449,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.02,0.025,NA,1000,0.301,1.10323762893677,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.02,0.025,NA,1000,1,1.90135359764099,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.02,0.025,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.02,0.025,NA,1000,NA,NA,NA,NA
