"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.18,1000,0.682,1.1096408367157,0.466,0.716004371643066
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.18,1000,0.685,1.21856164932251,0.469,0.712685823440552
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.18,1000,0.062,1.12741756439209,0.065,0.800753116607666
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.18,1000,0.681,1.13193416595459,0.471,0.692065238952637
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.18,1000,0.681,1.11246180534363,0.466,1.14200973510742
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.18,1000,0.684,1.06132984161377,0.466,0.690125942230225
