"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.09,1000,0.019,1.1176266670227,0.007,0.722619771957397
"Transformación logarítmica","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.09,1000,0.018,1.09538292884827,0.008,0.720335483551025
"Transformación Centered Log Ratio (clr)","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.09,1000,0.001,1.17849946022034,0,0.808416604995728
"Transformación raíz cuadrada","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.09,1000,0.017,1.14920616149902,0.007,0.803376197814941
"Escalado de datos por desviación típica","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.09,1000,0.017,1.12023997306824,0.007,0.67499589920044
"Normalización Min- Max","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.09,1000,0.017,1.15391540527344,0.007,0.716812133789062
