"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.35,1000,0.988,1.15001654624939,0.929,0.698240518569946
"Transformación logarítmica","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.35,1000,0.987,1.1294538974762,0.929,0.714445352554321
"Transformación Centered Log Ratio (clr)","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.35,1000,0.005,1.51194310188293,0.001,0.801367282867432
"Transformación raíz cuadrada","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.35,1000,0.988,1.10912466049194,0.929,0.671663761138916
"Escalado de datos por desviación típica","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.35,1000,0.987,1.08675670623779,0.929,0.762328624725342
"Normalización Min- Max","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.6,0.35,1000,0.985,1.10547423362732,0.929,0.731251001358032
