"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.4,0.35,1000,0.998,1.11552238464355,0.979,0.677954912185669
"Transformación logarítmica","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.4,0.35,1000,0.998,1.11627149581909,0.975,0.736768960952759
"Transformación Centered Log Ratio (clr)","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.4,0.35,1000,0.005,1.14880657196045,0.001,0.780262470245361
"Transformación raíz cuadrada","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.4,0.35,1000,0.998,1.19128084182739,0.978,0.736662149429321
"Escalado de datos por desviación típica","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.4,0.35,1000,0.998,1.10590147972107,0.979,0.713594436645508
"Normalización Min- Max","mvnorm",0.001,1000,300,"equal",3,NA,NA,0.4,0.35,1000,0.998,1.08230185508728,0.979,0.712905883789062
