"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.006,0.024,NA,1000,0.581,1.19385719299316,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.006,0.024,NA,1000,0.557,1.10357189178467,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.006,0.024,NA,1000,0.557,1.54497456550598,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.006,0.024,NA,1000,0.525,1.14138412475586,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.006,0.024,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.006,0.024,NA,1000,NA,NA,NA,NA
