"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.002,0.024,NA,1000,0.101,1.22050881385803,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.002,0.024,NA,1000,0.094,1.06271648406982,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.002,0.024,NA,1000,0.093,1.43137788772583,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.002,0.024,NA,1000,0.089,1.06696772575378,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.002,0.024,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.002,0.024,NA,1000,NA,NA,NA,NA
