"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.01,0.025,NA,1000,0.97,1.27283811569214,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.01,0.025,NA,1000,0.971,1.32535982131958,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.01,0.025,NA,1000,0.068,1.13729071617126,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.01,0.025,NA,1000,0.971,1.14580655097961,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.01,0.025,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.01,0.025,NA,1000,NA,NA,NA,NA
