"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0,0.2,1,NA,0.041,1.07088279724121,0.052,0.722494602203369
"Transformación logarítmica","mvnorm",0.05,1000,300,3,"unequal",0,0.2,1,NA,0.043,1.08709764480591,0.049,0.675451278686523
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,3,"unequal",0,0.2,1,NA,0.047,1.11532545089722,0.052,0.785699367523193
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,3,"unequal",0,0.2,1,NA,0.043,1.0420298576355,0.051,0.683303833007812
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"unequal",0,0.2,1,NA,0.044,1.30693221092224,0.052,0.698880195617676
"Normalización Min- Max","mvnorm",0.05,1000,300,3,"unequal",0,0.2,1,NA,0.046,1.04283618927002,0.052,0.702609777450562
