"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANTA",0.069,1.13329458236694,"MANOVA",0.071,0.721985578536987,0.199999999999999,2.85714285714284
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANTA",0.052,1.14150738716125,"MANOVA",0.05,0.775968790054321,0.199999999999999,3.92156862745097
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANTA",0.071,1.21685671806335,"MANOVA",0.073,0.676571369171143,0.2,2.77777777777778
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANTA",0.073,1.10459756851196,"MANOVA",0.075,0.733317852020264,0.2,2.70270270270271
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANTA",0.073,1.16943335533142,"MANOVA",0.075,0.71353006362915,0.2,2.70270270270271
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANTA",0.066,1.10963726043701,"MANOVA",0.062,0.741779565811157,0.4,6.25
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANTA",0.066,1.1301999092102,"MANOVA",0.062,0.807480812072754,0.4,6.25
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANTA",0.049,1.13961052894592,"MANOVA",0.045,0.794167041778564,0.4,8.51063829787235
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANTA",0.066,1.07837748527527,"MANOVA",0.062,0.716401100158691,0.4,6.25
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANTA",0.072,1.10436677932739,"MANOVA",0.062,1.10516166687012,1,14.9253731343283
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANTA",0.068,1.08120489120483,"MANOVA",0.062,0.693552732467651,0.6,9.23076923076924
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANTA",0.07,1.12224817276001,"MANOVA",0.063,0.740168809890747,0.700000000000001,10.5263157894737
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANTA",0.075,1.17554092407227,"MANOVA",0.061,0.810384273529053,1.4,20.5882352941176
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANTA",0.051,1.12238955497742,"MANOVA",0.046,0.775534152984619,0.5,10.3092783505155
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANTA",0.07,1.1012008190155,"MANOVA",0.062,0.736528873443604,0.800000000000001,12.1212121212121
