"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANTA",0.075,1.10236573219299
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANTA",0.073,1.08156728744507
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.071,1.09225177764893
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.07,1.11150670051575
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.056,1.18321371078491
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.071,1.15160942077637
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.071,1.08658885955811
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANTA",0.071,1.0823061466217
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.068,1.11441564559937
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.067,1.13267207145691
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.05,1.14710426330566
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.064,1.09591555595398
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.068,1.10409164428711
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANTA",0.069,1.15364837646484
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.161,1.13477849960327
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.157,1.13133454322815
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.055,1.1217052936554
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.162,1.14851093292236
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.157,1.08523058891296
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.154,1.12739157676697
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.15,1.13161039352417
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.156,1.11156296730042
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.047,1.20058941841125
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.152,1.09839630126953
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.151,1.10886883735657
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.144,1.12165141105652
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.143,1.11551523208618
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.147,1.14131760597229
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.057,1.16439056396484
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.144,1.12321448326111
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.142,1.11235475540161
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.146,1.11585164070129
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.134,1.16147828102112
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.132,1.13234829902649
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.058,1.16142106056213
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.135,1.0995876789093
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.132,1.1260838508606
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.129,1.10329580307007
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.12,1.15341973304749
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.116,1.48445653915405
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.052,1.12290716171265
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.119,1.10851454734802
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.121,1.08837509155273
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.119,1.09386920928955
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.302,1.1874213218689
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.304,1.11318349838257
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.056,1.22543883323669
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.3,1.11907339096069
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.311,1.08335638046265
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.312,1.08215022087097
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.326,1.11190986633301
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.326,1.5089316368103
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.049,1.25129961967468
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.327,1.09918642044067
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.323,1.14447164535522
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.32,1.08360528945923
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.26,1.13302969932556
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.261,1.1915111541748
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.061,1.14164209365845
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.26,1.10695433616638
