"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",1,0.4,1,NA,1,1.36047601699829,1,0.682309150695801
"Transformación logarítmica","mvnorm",0.05,1000,300,3,"equal",1,0.4,1,NA,1,1.09315514564514,1,0.721675395965576
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,3,"equal",1,0.4,1,NA,0.523,1.14070630073547,0.383,0.818486213684082
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,3,"equal",1,0.4,1,NA,1,1.08335638046265,1,0.67443585395813
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",1,0.4,1,NA,1,1.10843968391418,1,0.692452192306519
"Normalización Min- Max","mvnorm",0.05,1000,300,3,"equal",1,0.4,1,NA,1,1.06879711151123,1,0.739516258239746
