"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.012,0.025,NA,1000,0.998,1.1614944934845,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.012,0.025,NA,1000,0.998,1.26465821266174,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.012,0.025,NA,1000,0.085,1.13345909118652,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.012,0.025,NA,1000,0.998,1.15802407264709,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.012,0.025,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.012,0.025,NA,1000,NA,NA,NA,NA
