"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA"
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",1,1.12328958511353,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",1,1.05142784118652,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",0.158,1.07353806495667,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",1,1.19551801681519,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",1,1.12029576301575,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",1,1.05143880844116,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",0.301,1.07894802093506,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",1,1.61768102645874,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",1,1.11932969093323,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",1,1.05187487602234,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",0.591,1.06954503059387,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",1,5.45602035522461,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",1,1.11062669754028,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",1,1.03296089172363,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",0.817,1.05719804763794,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",1,26.7448554039001,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",1,1.25818872451782,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",1,1.02819347381592,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",0.959,1.05846858024597,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",1,109.610272169113,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",0.049,1.13581418991089,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",0.053,1.27818965911865,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",0.052,1.27232503890991,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",0.052,1.04670596122742,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",0.101,1.15486645698547,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",0.094,1.06935620307922,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",0.093,1.30654692649841,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",0.089,1.03149819374084,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",NA,NA,"MANOVA",NA,NA
