"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.015,1000,0.058,1.15421032905579,0.052,0.714081048965454
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.015,1000,0.056,1.12957811355591,0.05,0.741666793823242
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.015,1000,0.057,1.23622798919678,0.05,0.831353425979614
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.015,1000,0.056,1.11964249610901,0.051,0.737697839736938
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.015,1000,0.059,1.11971473693848,0.052,0.724171161651611
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.015,1000,0.057,1.21202993392944,0.052,0.752151727676392
