"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.008,0.024,NA,1000,0.827,1.24730634689331,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.008,0.024,NA,1000,0.804,1.09221076965332,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.008,0.024,NA,1000,0.803,1.91389489173889,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.008,0.024,NA,1000,0.785,1.08336400985718,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.008,0.024,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.008,0.024,NA,1000,NA,NA,NA,NA
