"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0.4,1,NA,1,1.10149717330933,1,0.718222618103027
"Transformación logarítmica","mvnorm",0.001,1000,300,3,"unequal",1,0.4,1,NA,1,1.44616317749023,1,0.705411195755005
"Transformación Centered Log Ratio (clr)","mvnorm",0.001,1000,300,3,"unequal",1,0.4,1,NA,0.09,1.10132312774658,0.046,0.775474071502686
"Transformación raíz cuadrada","mvnorm",0.001,1000,300,3,"unequal",1,0.4,1,NA,1,1.08663010597229,1,0.692123413085938
"Escalado de datos por desviación típica","mvnorm",0.001,1000,300,3,"unequal",1,0.4,1,NA,1,1.25420665740967,1,0.687689065933228
"Normalización Min- Max","mvnorm",0.001,1000,300,3,"unequal",1,0.4,1,NA,1,1.07265973091125,1,0.7061607837677
