"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.044,1.08523321151733,0.052,0.694267272949219
"Transformación logarítmica","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.045,1.0915789604187,0.05,0.704216480255127
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.046,1.16524267196655,0.052,0.99126935005188
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.042,1.08231043815613,0.051,0.708347082138062
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.044,1.07849645614624,0.052,0.68963885307312
"Normalización Min- Max","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.049,1.09134459495544,0.052,0.670400619506836
