"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Método","Potencia","tcomp"
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0175,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",0.059,1.07894682884216
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",0.058,1.09559488296509
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",0.056,1.08950018882751
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",0.059,1.07014966011047
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",0.056,1.06938099861145
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",0.055,1.07734489440918
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",0.055,1.11299777030945
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",0.055,1.09782576560974
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",0.085,1.10198473930359
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",0.081,1.1164915561676
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",0.042,1.11013388633728
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",0.084,1.17627167701721
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",0.073,1.08198404312134
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",0.074,1.06771492958069
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",0.049,1.10611438751221
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",0.073,1.03714799880981
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",NA,NA
