"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1225,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.14,1000,"MANTA",0.216,1.09730410575867
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.14,1000,"MANTA",0.288,1.12342834472656
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.14,1000,"MANTA",0.981,1.53683710098267
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.14,1000,"MANTA",0.231,1.05751371383667
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.14,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.14,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1575,1000,"MANTA",0.279,1.1258749961853
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1575,1000,"MANTA",0.348,1.12608361244202
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1575,1000,"MANTA",0.981,1.51015114784241
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1575,1000,"MANTA",0.296,1.22656106948853
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1575,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1575,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.175,1000,"MANTA",0.35,1.09294247627258
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.175,1000,"MANTA",0.409,1.10420155525208
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.175,1000,"MANTA",0.981,1.51092767715454
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.175,1000,"MANTA",0.366,1.12615132331848
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.175,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.175,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1925,1000,"MANTA",0.427,1.10664677619934
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1925,1000,"MANTA",0.495,1.11088490486145
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1925,1000,"MANTA",0.98,1.48116779327393
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1925,1000,"MANTA",0.432,1.19908285140991
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1925,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.1925,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.21,1000,"MANTA",0.501,1.08038449287415
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.21,1000,"MANTA",0.556,1.11425852775574
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.21,1000,"MANTA",0.978,1.53233933448792
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.21,1000,"MANTA",0.521,1.05403184890747
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.21,1000,"MANTA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.21,1000,"MANTA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.2275,1000,"MANTA",0.584,1.07881760597229
