"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,0.024,NA,1000,1,1.19303059577942,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,0.024,NA,1000,1,1.07776641845703,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,0.024,NA,1000,1,24.935489654541,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,0.024,NA,1000,1,3.46868467330933,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,0.024,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,0.024,NA,1000,NA,NA,NA,NA
