"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Método","Potencia","tcomp"
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",1,1.11924195289612
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",0.301,1.1652991771698
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",1,1.70606374740601
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",1,1.22975373268127
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",1,1.094393491745
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",0.591,1.15511012077332
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",1,5.51537871360779
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",1,1.60368013381958
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",1,1.11218309402466
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",0.817,1.17463254928589
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",1,26.6911807060242
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",1,1.24072122573853
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",1,1.08974051475525
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",0.959,1.1521897315979
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",1,109.609487533569
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",0.049,1.2789351940155
