"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.032,0.024,NA,1000,1,1.24048590660095,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.032,0.024,NA,1000,1,1.06026196479797,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.032,0.024,NA,1000,1,52.5525600910187,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.032,0.024,NA,1000,1,78.8884580135345,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.032,0.024,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.032,0.024,NA,1000,NA,NA,NA,NA
