"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.004,0.024,NA,1000,0.282,1.14826703071594,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.004,0.024,NA,1000,0.26,1.09346675872803,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.004,0.024,NA,1000,0.259,1.42159271240234,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.004,0.024,NA,1000,0.254,1.09995198249817,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.004,0.024,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.004,0.024,NA,1000,NA,NA,NA,NA
