"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.012,0.024,NA,1000,0.997,1.25921440124512,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.012,0.024,NA,1000,0.996,1.09943032264709,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.012,0.024,NA,1000,0.996,3.82339525222778,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.012,0.024,NA,1000,0.991,1.08890008926392,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.012,0.024,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.012,0.024,NA,1000,NA,NA,NA,NA
