"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.016,0.024,NA,1000,1,1.1818745136261,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.016,0.024,NA,1000,1,1.08593535423279,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.016,0.024,NA,1000,1,8.23742055892944,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.016,0.024,NA,1000,1,1.19408845901489,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.016,0.024,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.016,0.024,NA,1000,NA,NA,NA,NA
