"Datos","Modelo","alpha","S","n","Var","q","loc","delta","stdev","Cor","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0,0.024,NA,1000,0.049,1.15173077583313,NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0,0.024,NA,1000,0.053,1.1188063621521,NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0,0.024,NA,1000,0.052,1.3485701084137,NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0,0.024,NA,1000,0.052,1.07750701904297,NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0,0.024,NA,1000,NA,NA,NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0,0.024,NA,1000,NA,NA,NA,NA
