"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.4,0.6,1,NA,1,1.1432101726532,1,0.951679706573486,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.4,0.8,1,NA,1,1.53506922721863,1,1.02269625663757,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.6,0,1,NA,1,1.09524369239807,1,0.791041851043701,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.6,0.2,1,NA,1,1.10775184631348,1,0.68120002746582,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.6,0.4,1,NA,1,1.07635402679443,1,0.867482423782349,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.6,0.6,1,NA,1,1.09617972373962,1,0.683863162994385,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.6,0.8,1,NA,1,1.25382995605469,1,0.686038494110107,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.8,0,1,NA,1,1.06621742248535,1,0.686129331588745,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.8,0.2,1,NA,1,1.06752133369446,1,0.684437990188599,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.8,0.4,1,NA,1,1.05578470230103,1,0.705402851104736,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.8,0.6,1,NA,1,1.09280681610107,1,0.762137174606323,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0.8,0.8,1,NA,1,1.26417255401611,1,0.685632228851318,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",1,0,1,NA,1,1.10105061531067,1,0.700001001358032,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",1,0.2,1,NA,1,1.07513284683228,1,0.68854808807373,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",1,0.4,1,NA,1,1.07663440704346,1,0.684307098388672,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",1,0.6,1,NA,1,1.10734820365906,1,0.684675216674805,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",1,0.8,1,NA,1,1.24466300010681,1,0.704442024230957,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0,0,1,NA,0.007,1.04605054855347,0.003,0.686116695404053,0.4,80
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0,0.2,1,NA,0.008,1.11456727981567,0.003,0.661890983581543,0.5,90.9090909090909
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0,0.4,1,NA,0.012,1.07341742515564,0.003,0.686180830001831,0.9,120
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0,0.6,1,NA,0.012,1.36533951759338,0.003,0.681137800216675,0.9,120
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0,0.8,1,NA,0.011,1.04398393630981,0.003,0.682234048843384,0.8,114.285714285714
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0,1,NA,0.904,1.12635731697083,0.895,0.685540914535522,0.900000000000001,1.00055586436909
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0.2,1,NA,0.857,1.11465644836426,0.746,0.683907985687256,11.1,13.8490330630069
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0.4,1,NA,0.771,1.10306572914124,0.54,0.726179361343384,23.1,35.2402745995423
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0.6,1,NA,0.648,1.08408617973328,0.419,0.739918947219849,22.9,42.9240862230553
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.2,0.8,1,NA,0.552,1.29381728172302,0.327,1.01778841018677,22.5,51.1945392491468
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0,1,NA,1,1.10378885269165,1,0.713822841644287,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.2,1,NA,1,1.08256363868713,1,0.685487747192383,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.4,1,NA,1,1.0425226688385,1,0.681216716766357,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.6,1,NA,1,1.06557822227478,0.999,0.661165714263916,0.1,0.100050025012506
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.8,1,NA,0.999,1.11339807510376,0.995,0.663963079452515,0.4,0.401203610832498
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0,1,NA,1,1.05952000617981,1,0.682751417160034,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.2,1,NA,1,1.10297012329102,1,0.673127174377441,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.4,1,NA,1,1.14427828788757,1,0.664427280426025,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.6,1,NA,1,1.07210278511047,1,0.727214336395264,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.8,1,NA,1,1.12574887275696,1,0.663831949234009,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0,1,NA,1,1.0444917678833,1,0.681087493896484,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.2,1,NA,1,1.04076480865479,1,0.707273244857788,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.4,1,NA,1,1.1314811706543,1,0.692608833312988,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.6,1,NA,1,1.06887102127075,1,0.668705701828003,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.8,1,NA,1,1.1147735118866,1,0.684735298156738,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0,1,NA,1,1.04601216316223,1,0.666175603866577,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.2,1,NA,1,1.08906984329224,1,0.661890506744385,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.4,1,NA,1,1.11129975318909,1,0.717243671417236,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.6,1,NA,1,1.11257648468018,1,0.683836221694946,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.8,1,NA,1,1.11123538017273,1,0.683241128921509,0,0
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0,0,1,NA,0.009,1.11707758903503,0.003,0.661449193954468,0.6,100
